date,keyword,counts
10/30/22,smartwatch,2
11/6/22,Apple,66
11/6/22,Logitech,2
11/6/22,NVIDIA,3
11/6/22,OLED monitor,0
11/6/22,Samsung,22
11/6/22,laptop,36
11/6/22,mechanical keyboard,1
11/6/22,noise cancelling headphones,1
11/6/22,smartphone,1
11/6/22,smartwatch,2
11/13/22,Apple,67
11/13/22,Logitech,2
11/13/22,NVIDIA,3
11/13/22,OLED monitor,0
11/13/22,Samsung,24
11/13/22,laptop,37
11/13/22,mechanical keyboard,1
11/13/22,noise cancelling headphones,1
11/13/22,smartphone,1
11/13/22,smartwatch,2
11/20/22,Apple,97
11/20/22,Logitech,3
11/20/22,NVIDIA,3
11/20/22,OLED monitor,0
11/20/22,Samsung,34
11/20/22,laptop,46
11/20/22,mechanical keyboard,1
11/20/22,noise cancelling headphones,2
11/20/22,smartphone,1
11/20/22,smartwatch,2
11/27/22,Apple,84
11/27/22,Logitech,3
11/27/22,NVIDIA,3
11/27/22,OLED monitor,0
11/27/22,Samsung,25
11/27/22,laptop,41
11/27/22,mechanical keyboard,1
11/27/22,noise cancelling headphones,1
11/27/22,smartphone,1
11/27/22,smartwatch,2
12/4/22,Apple,64
12/4/22,Logitech,2
12/4/22,NVIDIA,3
12/4/22,OLED monitor,0
12/4/22,Samsung,23
12/4/22,laptop,37
12/4/22,mechanical keyboard,1
12/4/22,noise cancelling headphones,1
12/4/22,smartphone,1
12/4/22,smartwatch,2
12/11/22,Apple,69
12/11/22,Logitech,2
12/11/22,NVIDIA,3
12/11/22,OLED monitor,0
12/11/22,Samsung,23
12/11/22,laptop,40
12/11/22,mechanical keyboard,1
12/11/22,noise cancelling headphones,1
12/11/22,smartphone,1
12/11/22,smartwatch,2
12/18/22,Apple,69
12/18/22,Logitech,2
12/18/22,NVIDIA,2
12/18/22,OLED monitor,0
12/18/22,Samsung,24
12/18/22,laptop,36
12/18/22,mechanical keyboard,1
12/18/22,noise cancelling headphones,1
12/18/22,smartphone,1
12/18/22,smartwatch,2
12/25/22,Apple,83
12/25/22,Logitech,3
12/25/22,NVIDIA,3
12/25/22,OLED monitor,0
12/25/22,Samsung,28
12/25/22,laptop,39
12/25/22,mechanical keyboard,1
12/25/22,noise cancelling headphones,1
12/25/22,smartphone,1
12/25/22,smartwatch,2
1/1/23,Apple,68
1/1/23,Logitech,2
1/1/23,NVIDIA,2
1/1/23,OLED monitor,0
1/1/23,Samsung,23
1/1/23,laptop,35
1/1/23,mechanical keyboard,1
1/1/23,noise cancelling headphones,1
1/1/23,smartphone,0
1/1/23,smartwatch,2
1/8/23,Apple,63
1/8/23,Logitech,2
1/8/23,NVIDIA,3
1/8/23,OLED monitor,0
